"AphiaID";"ScientificName";"Name";"Rank";"Authority";"Kingdom";"Phylum";"ParentID";"url"
140430;"Mya arenaria";"Mya arenaria";"Species";"Linnaeus, 1758";"Animalia";"Mollusca";138211;"http://marinespecies.org/aphia.php?p=taxdetails&id=140430"
107614;"Palaemon elegans";"Palaemon elegans";"Species";"Rathke, 1837";"Animalia";"Arthropoda";107032;"http://marinespecies.org/aphia.php?p=taxdetails&id=107614"
106401;"Mnemiopsis leidyi";"Mnemiopsis leidyi";"Species";"A. Agassiz, 1865";"Animalia";"Ctenophora";106355;"http://marinespecies.org/aphia.php?p=taxdetails&id=106401"
144442;"Bonnemaisonia hamifera";"Bonnemaisonia hamifera";"Species";"Hariot, 1891";"Plantae";"Rhodophyta";143810;"http://marinespecies.org/aphia.php?p=taxdetails&id=144442"
145086;"Codium fragile";"Codium fragile";"Species";"(Suringar) Hariot, 1889";"Plantae";"Chlorophyta";143999;"http://marinespecies.org/aphia.php?p=taxdetails&id=145086"
500421;"Wildemania miniata";"Wildemania miniata";"Species";"(C.Agardh) Foslie, 1891";"Plantae";"Rhodophyta";370332;"http://marinespecies.org/aphia.php?p=taxdetails&id=500421"
836896;"Dasysiphonia japonica";"Dasysiphonia japonica";"Species";"(Yendo) H.-S.Kim, 2012";"Plantae";"Rhodophyta";369554;"http://marinespecies.org/aphia.php?p=taxdetails&id=836896"
111418;"Fenestrulina malusii";"Fenestrulina malusii";"Species";"(Audouin, 1826)";"Animalia";"Bryozoa";110941;"http://marinespecies.org/aphia.php?p=taxdetails&id=111418"
144714;"Dasya baillouviana";"Dasya baillouviana";"Species";"(S.G.Gmelin) Montagne, 1841";"Plantae";"Rhodophyta";143870;"http://marinespecies.org/aphia.php?p=taxdetails&id=144714"
1327786;"Agarophyton vermiculophyllum";"Agarophyton vermiculophyllum";"Species";"(Ohmi) Gurgel, J.N.Norris & Fredericq, 2018";"Plantae";"Rhodophyta";1327785;"http://marinespecies.org/aphia.php?p=taxdetails&id=1327786"
156961;"Petricolaria pholadiformis";"Petricolaria pholadiformis";"Species";"(Lamarck, 1818)";"Animalia";"Mollusca";156960;"http://marinespecies.org/aphia.php?p=taxdetails&id=156961"
494791;"Sargassum muticum";"Sargassum muticum";"Species";"(Yendo) Fensholt, 1955";"Chromista";"Ochrophyta";144132;"http://marinespecies.org/aphia.php?p=taxdetails&id=494791"
103929;"Styela clava";"Styela clava";"Species";"Herdman, 1881";"Animalia";"Chordata";103543;"http://marinespecies.org/aphia.php?p=taxdetails&id=103929"
138963;"Crepidula fornicata";"Crepidula fornicata";"Species";"(Linnaeus, 1758)";"Animalia";"Mollusca";137722;"http://marinespecies.org/aphia.php?p=taxdetails&id=138963"
145856;"Colpomenia peregrina";"Colpomenia peregrina";"Species";"Sauvageau, 1927";"Chromista";"Ochrophyta";144253;"http://marinespecies.org/aphia.php?p=taxdetails&id=145856"
126916;"Neogobius melanostomus";"Neogobius melanostomus";"Species";"(Pallas, 1814)";"Animalia";"Chordata";125996;"http://marinespecies.org/aphia.php?p=taxdetails&id=126916"
145367;"Dictyota dichotoma";"Dictyota dichotoma";"Species";"(Hudson) J.V.Lamouroux, 1809";"Chromista";"Ochrophyta";144086;"http://marinespecies.org/aphia.php?p=taxdetails&id=145367"
836033;"Magallana gigas";"Magallana gigas";"Species";"(Thunberg, 1793)";"Animalia";"Mollusca";836032;"http://marinespecies.org/aphia.php?p=taxdetails&id=836033"
107414;"Rhithropanopeus harrisii";"Rhithropanopeus harrisii";"Species";"(Gould, 1841)";"Animalia";"Arthropoda";106938;"http://marinespecies.org/aphia.php?p=taxdetails&id=107414"
876640;"Ensis leei";"Ensis leei";"Species";"M. Huber, 2015";"Animalia";"Mollusca";138333;"http://marinespecies.org/aphia.php?p=taxdetails&id=876640"
